index,type,line
0,false,
1,true,activation time one minute
2,true,some great constellations above narrativegrade constellations are clicking their tongues
3,true,the twentyfourth seal of the returnee BLANK has been released
4,true,the hidden scenario has ended
5,false,satisfaction paul look at yourself and tell me
6,true,the dokkaebi BLANK has invited you to his channel
7,true,the attribute effect has improved your memories of the pages already read
8,false,you were you aiming for gong pildu from the beginning
9,true,your purple flag has absorbed the cumulative achievements of the black flag
10,true,the provisions of the temporary contract will take effect
11,true,a new main scenario has arrived
12,true,the character han sooyoungs avatar has received the punishment for violating the contract
13,false,you always felt envious that zeus had heracles this time i read a bit of your mind
14,true,the great constellations hear your voice flowing through the stars
15,true,the stigma blank has been used
16,false,there is no problem with the probability i used the scenario enforcement with the consent of the constellations and the constellation also
17,true,do you want to activate the exclusive skill
18,true,magic power lv 0 > magic power lv 0
19,false,i am the dokkaebi BLANK who will temporarily take charge of the compensation settlement
20,false,what are you
21,true,the time limit of the fourth scenario has been significantly reduced
22,false,no this isnt an issue you can dismiss you destroyed a constellations idol do you want to see my channel fail once the blank begins to talk
23,true,the stigma BLANK is activated
24,true,your understanding of the character blank has greatly increased
25,true,the constellation BLANK applauds your actions
26,true,the bi0 channel manipulation has been reported
27,true,the settings of the summary list have been changed
28,true,number of kings remaining 0
29,true,constellations complain that you should tell them by talking to yourself from now on
30,true,the character BLANK shows a weak liking towards you
31,true,there are 0 days before the start of the fifth scenario
32,true,the blank has been revealed
33,true,you can now freely move to other stations
34,false,how can a human know this
35,false,i like you if you dont mind i would like to become your sponsor in this world
36,true,the character gong pildus armed zone has levelled up
37,true,the kings road has begun
38,true,the constellation blank has started reading the contract
39,true,you have occupied 0 stations
40,true,the constellation BLANK nods with slight discontent
41,false,haha constellations did you enjoy this lets quickly watch an advertisement before going straight to the next scenario
42,true,a number of constellations want to see your faith
43,true,the skill cold resistance is now available to be used
44,false,constellations didnt hear anything dont worry the problem is that even i didnt hear much
45,true,the character blank is a bit disappointed in you
46,false,ah no why is this thing here the alarmed biryu shouted belatedly iiit was banned immediately after release
47,true,your navy flag has absorbed the cumulative achievements of the navy flag
48,true,the constellation BLANK scoffs
49,true,the fourth blank has been reached
50,true,the exclusive skill blank has relieved some of the pain
51,true,some constellations are silent
52,false,oh my shy husband is finally talking
53,true,constellations of the absolute good system have defined cheon inho as blank
54,false,i will now settle the additional compensation for the fifth scenario
55,true,a small planets constellation is looking tearfully at kyrgios rodgraim
56,true,you have failed to meet the conditions to change the viewpoint
57,true,you have injured the dokkaebi in the solo meeting space
58,true,the blank is extremely alert to you
59,true,the exclusive skill fourth wall has blocked the effect of the blank skill
60,false,hmm my words are just entering dirty ears isnt there an old saying in south korea it is better to see it once than listen a hundred times so experience it directly well the less fortunate ones might not get the chance hahaha
61,true,you can move more agilely than before
62,true,your group has occupied the target station
63,false,even if you die here
64,true,your party is the first to hunt 0 acupuncture copper men
65,true,the constellation BLANK is looking forward to you dealing with this properly
66,true,the vitality in your body is rising
67,true,BLANK has occupied the white flag
68,true,the character yoo joonghyuk is currently using lie detection lv 0
69,true,the barrier surrounding the theater dungeon has disappeared
70,true,blackening lv0 has been activated
71,true,you have received 0 coins from the character blank
72,true,a few constellations are paying attention to character yoo joonghyuks answer
73,true,there are 0 minutes remaining
74,true,the constellation blank is observing yoo joonghyuks loyalty
75,true,some constellations have withdrawn their support for you
76,true,all types of access to the carriage will be restricted until the scenario is complete
77,true,the constellation blank thinks that you are impudent
78,true,the first question has been resolved
79,false,are you going to be rude
80,true,the exclusive skill blank is in use
81,true,some constellations oppose the dokkaebis speech
82,false,cconstellations it is like this i dont know why it is here hhihihit broadcast end
83,true,list of participants no 0 0 i feel like dying 0 lets drop off no 0 0 get off no 0 a total of 0 people
84,true,a constellation wearing a straw mat is puzzled by your actions
85,false,you even know this information you are really amazing but even if you know this information you shouldnt arrogantly think that you understand everything
86,true,incarnation BLANK has entered a trance state
87,true,there are two minutes left to complete the sponsor selection
88,false,i have decided not to care about small things now and i can go back and forth to the administration bureau rather how do you know about the blank
89,true,you have recovered the brown flag
90,true,the disaster called BLANK has disappeared
91,true,the sponsor behind character BLANK has revealed himself
92,true,from now on the attack and defense of all items will be limited
93,true,the s grade four yin demonic beheading sword has evolved into the star relic BLANK
94,true,some constellations are in agreement
95,true,the constellation blank is impressed by your chivalrous spirit
96,true,the constellation blank is wondering about the contents of the contract
97,true,the constellation who likes murasama is urging you to proceed with the coin lottery
98,true,the twelfth seal of the returnee BLANK has been released
99,true,the 0th grade other world species BLANK has received great enlightenment
100,true,constellations of the korean peninsula are looking at you sadly
101,true,you are able to use the perks of the purple flag
102,true,the character blank has completely recovered his magic power
103,true,your understanding of the character blank has increased
104,false,am i your manager
105,true,the constellation BLANK respects your taste
106,false,insignificant human
107,false,character list and omniscient readers viewpoint i didnt know the precise use yet but i had a general sense of these skills this would work somehow
108,false,by the way in order to proceed with this scenario you have to perform another task first wont it be a mess if the number of people increases therefore you need a presence to lead you in other words there must be a station representative
109,true,the constellation blank is annoyed at these people
110,true,the 0st person supporting role viewpoint has been activated
111,false,what do these screens have in common
112,false,are you calling us
113,true,the constellation blank has swallowed his saliva
114,true,after one minute the positions of the footholds will be recreated
115,false,i can guess why the executives came here it is probably because i used the enforcement rights
116,true,the colony effect reduces your overall stats
117,true,the exclusive skill blank has been activated
118,true,the constellation blank has sponsored you 0 coins
119,false,i cant help this planet
120,false,hey cant you hear me what are you going to do now
121,true,the constellation blank misses his old friend when he sees blank
122,true,the constellation BLANK is grabbing his belly and laughing
123,true,constellations who hate violence and slaughter are going crazy
124,true,if they break the restrictions group members lee sungkook and jung minseob will die
125,true,the character blank has a slight decrease in favourability
126,true,the small planets constellation is silent
127,false,is that your second question
128,true,all the constellations of the korean peninsula are looking at you
129,false,wow you are quite good at surviving now now will any constellations help this poor friend it was the dokkaebis merchantlike voice
130,true,exclusive skill omniscient readers viewpoint lv 0 has been activated
131,false,haha according to the data the people of this country are very good at games so why dont i try raising the difficulty
132,true,the 0th grade monster BLANK has appeared
133,true,the constellation BLANK has sponsored you 0 coins
134,false,paul you had a chance to end the scenario without using the executive rights it was a fresh development i had never seen before why did you stop it thanks to your brutality an emergency was dropped on seoul domes bureau
135,true,the blank penalty will be maintained until the second main scenario is cleared
136,true,bi0 channel has closed temporarily
