type,line
false,
true,activation time one minute
true,some great constellations above narrativegrade constellations are clicking their tongues
true,the twentyfourth seal of the returnee BLANK has been released
true,the hidden scenario has ended
false,satisfaction paul look at yourself and tell me
true,the dokkaebi BLANK has invited you to his channel
true,the attribute effect has improved your memories of the pages already read
false,you were you aiming for gong pildu from the beginning
true,your purple flag has absorbed the cumulative achievements of the black flag
true,the provisions of the temporary contract will take effect
true,a new main scenario has arrived
true,the character han sooyoungs avatar has received the punishment for violating the contract
false,you always felt envious that zeus had heracles this time i read a bit of your mind
true,the great constellations hear your voice flowing through the stars
true,the stigma blank has been used
false,there is no problem with the probability i used the scenario enforcement with the consent of the constellations and the constellation also
true,do you want to activate the exclusive skill
true,magic power lv 0 > magic power lv 0
false,i am the dokkaebi BLANK who will temporarily take charge of the compensation settlement
false,what are you
true,the time limit of the fourth scenario has been significantly reduced
false,no this isnt an issue you can dismiss you destroyed a constellations idol do you want to see my channel fail once the blank begins to talk
true,the stigma BLANK is activated
true,your understanding of the character blank has greatly increased
true,the constellation BLANK applauds your actions
true,the bi0 channel manipulation has been reported
true,the settings of the summary list have been changed
true,number of kings remaining 0
true,constellations complain that you should tell them by talking to yourself from now on
true,the character BLANK shows a weak liking towards you
true,there are 0 days before the start of the fifth scenario
true,the blank has been revealed
true,you can now freely move to other stations
false,how can a human know this
false,i like you if you dont mind i would like to become your sponsor in this world
true,the character gong pildus armed zone has levelled up
true,the kings road has begun
true,the constellation blank has started reading the contract
true,you have occupied 0 stations
true,the constellation BLANK nods with slight discontent
false,haha constellations did you enjoy this lets quickly watch an advertisement before going straight to the next scenario
true,a number of constellations want to see your faith
true,the skill cold resistance is now available to be used
false,constellations didnt hear anything dont worry the problem is that even i didnt hear much
true,the character blank is a bit disappointed in you
false,ah no why is this thing here the alarmed biryu shouted belatedly iiit was banned immediately after release
true,your navy flag has absorbed the cumulative achievements of the navy flag
true,the constellation BLANK scoffs
true,the fourth blank has been reached
true,the exclusive skill blank has relieved some of the pain
true,some constellations are silent
false,oh my shy husband is finally talking
true,constellations of the absolute good system have defined cheon inho as blank
false,i will now settle the additional compensation for the fifth scenario
true,a small planets constellation is looking tearfully at kyrgios rodgraim
true,you have failed to meet the conditions to change the viewpoint
true,you have injured the dokkaebi in the solo meeting space
true,the blank is extremely alert to you
true,the exclusive skill fourth wall has blocked the effect of the blank skill
false,hmm my words are just entering dirty ears isnt there an old saying in south korea it is better to see it once than listen a hundred times so experience it directly well the less fortunate ones might not get the chance hahaha
true,you can move more agilely than before
true,your group has occupied the target station
false,even if you die here
true,your party is the first to hunt 0 acupuncture copper men
true,the constellation BLANK is looking forward to you dealing with this properly
true,the vitality in your body is rising
true,BLANK has occupied the white flag
true,the character yoo joonghyuk is currently using lie detection lv 0
true,the barrier surrounding the theater dungeon has disappeared
true,blackening lv0 has been activated
true,you have received 0 coins from the character blank
